Stages	Epoch	man_scored
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
0	10	0
0	11	0
0	12	0
1	13	1
1	14	1
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
1	20	1
1	21	1
1	22	1
1	23	1
1	24	1
1	25	2
1	26	2
1	27	1
1	28	2
2	29	2
1	30	2
1	31	2
1	32	2
0	33	2
0	34	2
1	35	2
0	36	2
0	37	1
0	38	1
0	39	1
0	40	0
0	41	0
0	42	1
1	43	1
1	44	1
1	45	1
1	46	1
1	47	1
1	48	1
1	49	1
1	50	1
0	51	2
0	52	1
0	53	1
0	54	0
0	55	0
0	56	0
0	57	0
0	58	0
0	59	0
0	60	1
0	61	1
0	62	1
0	63	1
0	64	1
1	65	1
1	66	1
0	67	1
1	68	1
0	69	1
1	70	1
1	71	1
1	72	1
1	73	1
1	74	1
1	75	1
2	76	1
2	77	1
2	78	2
2	79	2
2	80	2
2	81	2
2	82	2
2	83	2
2	84	2
2	85	2
2	86	2
2	87	2
2	88	2
2	89	2
2	90	2
2	91	2
2	92	2
2	93	2
2	94	2
2	95	2
2	96	2
2	97	2
2	98	2
2	99	2
2	100	2
2	101	2
2	102	2
2	103	2
2	104	2
2	105	2
2	106	2
2	107	2
2	108	2
2	109	2
2	110	2
2	111	2
2	112	2
2	113	2
2	114	2
2	115	2
2	116	2
2	117	2
2	118	2
2	119	2
2	120	2
2	121	2
2	122	2
2	123	2
2	124	1
2	125	1
2	126	2
2	127	2
2	128	2
2	129	2
2	130	2
2	131	2
2	132	2
2	133	2
2	134	2
2	135	2
2	136	2
2	137	2
2	138	2
2	139	2
2	140	2
2	141	2
2	142	2
2	143	2
2	144	2
2	145	2
2	146	2
2	147	2
2	148	2
2	149	2
2	150	2
2	151	2
2	152	2
2	153	2
2	154	2
2	155	2
2	156	2
2	157	2
2	158	2
2	159	3
2	160	3
2	161	3
2	162	2
2	163	3
2	164	3
2	165	3
2	166	2
2	167	2
2	168	3
2	169	3
2	170	3
2	171	3
2	172	3
2	173	3
2	174	3
2	175	3
2	176	3
2	177	2
2	178	3
2	179	3
2	180	3
2	181	2
2	182	2
2	183	3
2	184	2
2	185	2
2	186	2
2	187	2
2	188	2
2	189	2
2	190	2
2	191	2
2	192	2
2	193	2
2	194	2
2	195	2
2	196	2
2	197	2
2	198	2
2	199	2
2	200	2
1	201	2
1	202	2
2	203	2
2	204	2
2	205	2
2	206	2
2	207	2
2	208	2
2	209	2
1	210	2
2	211	1
2	212	1
2	213	2
2	214	2
2	215	2
1	216	2
1	217	2
2	218	2
1	219	2
2	220	2
2	221	2
1	222	2
1	223	1
1	224	1
1	225	2
1	226	2
1	227	2
2	228	2
1	229	2
1	230	2
1	231	1
1	232	2
2	233	2
1	234	-1
1	235	-1
1	236	-1
2	237	-1
-1	238	-1
-1	239	-1
-1	240	-1
-1	241	-1
-1	242	-1
-1	243	-1
-1	244	-1
-1	245	-1
-1	246	-1
-1	247	-1
-1	248	-1
-1	249	-1
-1	250	-1
-1	251	-1
-1	252	-1
-1	253	-1
-1	254	-1
-1	255	-1
-1	256	-1
-1	257	-1
-1	258	-1
-1	259	-1
0	260	-1
0	261	1
1	262	-1
1	263	-1
0	264	-1
0	265	-1
1	266	-1
1	267	-1
0	268	-1
0	269	-1
0	270	-1
0	271	0
0	272	0
0	273	0
0	274	0
0	275	0
0	276	0
0	277	0
0	278	0
0	279	0
0	280	0
0	281	0
0	282	0
0	283	0
0	284	0
0	285	0
0	286	0
